Date;Open;High;Low;Close;Volume
Friday, December 16, 2016;15.92;15.94;15.66;15.73;24,273,024
Thursday, December 15, 2016;15.41;15.93;15.40;15.92;17,921,148
Wednesday, December 14, 2016;15.37;15.50;15.25;15.30;10,867,243
Tuesday, December 13, 2016;15.25;15.51;15.05;15.33;11,277,981
Monday, December 12, 2016;15.54;15.75;15.24;15.24;11,500,154
Friday, December 09, 2016;16.05;16.06;15.45;15.60;15,991,158
Thursday, December 08, 2016;15.60;16.13;15.53;15.85;29,547,690
Wednesday, December 07, 2016;14.80;15.55;14.74;15.37;38,935,439
Tuesday, December 06, 2016;13.82;14.35;13.73;14.31;16,827,083
Monday, December 05, 2016;13.48;13.82;13.35;13.70;12,862,297
Friday, December 02, 2016;13.78;13.82;13.44;13.64;11,745,551
Thursday, December 01, 2016;13.46;14.03;13.45;13.92;17,302,510
Wednesday, November 30, 2016;13.40;13.62;13.27;13.52;19,012,851
Tuesday, November 29, 2016;13.30;13.53;13.27;13.46;6,902,109
Monday, November 28, 2016;13.71;13.73;13.40;13.44;9,186,223
Friday, November 25, 2016;14.09;14.12;13.72;13.74;11,030,056
Thursday, November 24, 2016;13.98;14.11;13.93;14.05;5,310,536
Wednesday, November 23, 2016;14.03;14.08;13.65;13.99;9,987,464
Tuesday, November 22, 2016;14.09;14.13;13.97;13.98;7,798,043
Monday, November 21, 2016;14.16;14.17;13.90;13.96;7,564,949
Friday, November 18, 2016;14.46;14.50;14.13;14.13;10,891,307
Thursday, November 17, 2016;14.20;14.39;14.04;14.30;13,976,382
Wednesday, November 16, 2016;14.80;14.90;14.36;14.36;14,226,930
Tuesday, November 15, 2016;14.74;14.78;14.38;14.70;14,776,360
Monday, November 14, 2016;14.04;14.77;14.04;14.65;30,984,495
Friday, November 11, 2016;13.84;14.07;13.77;13.83;19,249,915
Thursday, November 10, 2016;13.38;14.30;13.38;13.63;46,704,091
Wednesday, November 09, 2016;12.03;13.00;12.03;13.00;23,765,187
Tuesday, November 08, 2016;12.59;12.68;12.30;12.55;12,794,759
Monday, November 07, 2016;12.38;12.63;12.35;12.62;11,476,017
Friday, November 04, 2016;12.14;12.25;12.01;12.15;18,187,245
Thursday, November 03, 2016;12.87;12.93;12.28;12.32;29,442,558
Wednesday, November 02, 2016;13.55;13.57;13.22;13.26;11,855,506
Tuesday, November 01, 2016;13.89;14.03;13.65;13.65;9,703,722
Monday, October 31, 2016;13.85;13.97;13.77;13.82;9,554,364
Friday, October 28, 2016;13.97;14.03;13.81;14.01;10,102,620
Thursday, October 27, 2016;13.90;14.00;13.69;14.00;9,248,281
Wednesday, October 26, 2016;13.67;13.83;13.62;13.80;10,027,834
Tuesday, October 25, 2016;13.95;13.99;13.66;13.67;8,749,919
Monday, October 24, 2016;13.71;13.99;13.71;13.86;11,738,201
Friday, October 21, 2016;13.68;13.73;13.52;13.58;9,370,239
Thursday, October 20, 2016;13.51;13.65;13.36;13.57;11,529,482
Wednesday, October 19, 2016;13.22;13.60;13.17;13.51;16,304,142
Tuesday, October 18, 2016;13.00;13.22;12.99;13.16;8,779,936
Monday, October 17, 2016;12.92;13.11;12.89;12.91;6,945,042
Friday, October 14, 2016;12.72;13.18;12.69;13.01;11,518,842
Thursday, October 13, 2016;12.93;12.93;12.56;12.62;10,663,323
Wednesday, October 12, 2016;13.14;13.20;13.03;13.04;6,039,703
Tuesday, October 11, 2016;13.04;13.27;13.04;13.18;8,301,410
Monday, October 10, 2016;12.89;13.19;12.76;13.16;8,653,576
Friday, October 07, 2016;13.20;13.34;12.97;13.06;12,483,007
Thursday, October 06, 2016;13.34;13.49;13.07;13.17;10,680,777
Wednesday, October 05, 2016;13.05;13.35;13.04;13.31;14,268,869
Tuesday, October 04, 2016;12.85;13.19;12.82;13.17;12,589,711
Monday, October 03, 2016;12.78;12.94;12.68;12.81;9,602,336
Friday, September 30, 2016;12.06;12.73;11.91;12.71;26,759,384
Thursday, September 29, 2016;12.59;12.70;12.54;12.60;11,662,575
Wednesday, September 28, 2016;12.47;12.72;12.28;12.38;13,226,147
Tuesday, September 27, 2016;12.86;12.98;12.24;12.38;21,340,823
Monday, September 26, 2016;12.96;12.98;12.66;12.80;14,462,887
Friday, September 23, 2016;13.12;13.13;12.90;13.13;8,339,128
Thursday, September 22, 2016;12.87;13.25;12.86;13.14;11,195,639
Wednesday, September 21, 2016;12.78;12.89;12.67;12.81;11,284,128
Tuesday, September 20, 2016;12.70;12.72;12.41;12.62;14,920,688
Monday, September 19, 2016;13.00;13.00;12.77;12.78;11,831,914
Friday, September 16, 2016;13.08;13.09;12.60;12.82;46,389,230
Thursday, September 15, 2016;13.06;13.41;13.04;13.35;15,651,771
Wednesday, September 14, 2016;13.25;13.29;13.03;13.10;12,849,711
Tuesday, September 13, 2016;13.37;13.46;13.20;13.20;11,663,161
Monday, September 12, 2016;13.30;13.38;13.07;13.31;14,293,503
Friday, September 09, 2016;13.30;13.66;13.26;13.58;18,353,822
Thursday, September 08, 2016;13.00;13.28;13.00;13.25;16,377,113
Wednesday, September 07, 2016;12.75;13.04;12.57;12.99;14,328,507
